Ticker,Nombre,Área, Nota
SEI,Solaris Oilfield (SEI),Energia,Solar sector recovery
APLD,Applied Digital (APLD),Tech,Acción que robota con NBIS
AMD,AMD (AMD),Chip,Accion de Merino
CMPX,Compass Therapeutics (CMPX),BIotech,Accion de Merino
ALLO,Allogene Therapeutics (ALLO),BIotech,Accion de Merino
PALI,Palisade Bio (PALI),BIotech,Accion de Merino
AXSM,Axsome Therapeutics Inc,BIotech,Accion de Merino
SDNK,SanDisk,Infra,Accion de Merino
TVTX,Travere Therapeutics,Biotech,Accion de Merino
ENTX,Entera Bio (ENTX),Biotech,Accion de Merino
ACN,Accenture (ACN),Industria,Accion de Alex
CRWN,Crown Capital Partners (CRWN),Industria,Accion de Italo
STAA,STAA Surgical,Industria,Accion de Italo
OPEN,Opendoor,Industria,Accion de ALEX
VIX,CBOE Volatility Index (VIX),Industria,Accion de ALEX
AMPX,Amprius Tech,Industria,Accion de ALEX
NFLX,Neltflix,Indistria,Acción de Alex
ALB,Albermarle,Indistria,Acción de Alex
S,SentinelOne, Financiera, Accion de Chacon
TSLA,Testa, Automotriz, Accion de Chacon
TSM,Taiwan Semiconductor, Semiconductor, Accion de Chacon
MSTU,T-REX Long Daily Target , Bussiness, Accion de Chacon
ASST,Strive, Técnologia, Accion de Chacon
FIG,Figma, Técnologia, Accion de Chacon
CRCL,Circle Internet, Técnologia, Accion de Chacon
DUOL,Duolingo, Técnologia, Accion de Chacon
BABA,Alibaba ADR, Técnologia, Accion de Chacon
INTC,Intel, Chip, Accion de Chacon
CAR,Avis Budget Group,Automotriz, Accion de Chacon
SLF,Sun Life Financial,PET, Accion de Chacon
GRMN,Garmin ,Técnologia, Accion de Chacon
ALAB,Astera Labs ,IA, Accion de Chacon
ARW,Arrow Electronics,Semiconductores, Accion de Chacon
SNX,TD Synnex,Tecnología de la Información, Accion de Chacon
FTDR,Frontdoor,servicios al consumidor, Accion de Chacon
PCAR,PACCAR,comercialización de vehículos comerciales pesados, Accion de Chacon
SLF,Sun Life Financial,PET, Accion de Chacon
