Ticker,Fecha,Precio_Compra,Cantidad,Cat_Fecha,Tipo,Estrategia
NBIS,2026-04-09,129.9,3.0793,2026-04-29,Accion,Swing
MRNA,2026-02-17,42.58,15.3362,2026-05-01,Accion,Swing
TAN,2026-02-17,58.29,11.2093,—,ETF_Sectorial,Swing
NVDA,2025-10-02,189.47,2.7256,2026-05-28,Accion,Swing
CROX,2025-10-07,78.72,4.6123,2026-04-30,Accion,Swing
APLD,2026-04-09,26.64,13.13815,2026-04-08,Accion,Swing
CNC,2025-10-07,38.22,9.50542,2026-04-28,Accion,Swing
CLOV,2025-10-01,2.66,117.17084,2026-05-06,Accion,Swing
ASTS,2025-10-29,79.21,2.5394,2026-05-11,Accion,Swing
VOO,2025-10-02,613.55,0.6727265,—,ETF_Indice,Largo_Plazo
VOO,2025-08-29,592.25,1.044245,—,ETF_Indice,Largo_Plazo
TAN,2026-02-17,58.29,11.2093502,—,ETF_Sectorial,Swing
IBIT,2025-09-08,63.7,7.7630897,—,ETF_Cripto,Largo_Plazo
ETHA,2025-10-02,33.42,15.4451593,—,ETF_Cripto,Largo_Plazo
XBI,2025-12-19,123.42,1.7712452,—,ETF_Sectorial,Swing
